File_Name,Original_Rows,Clean_Rows,Rows_Removed,Original_Columns,Clean_Columns,Empty_Rows_Removed,Empty_Columns_Removed,Duplicate_Rows_Removed,Status
Nagpur_Buildings.csv,46053,46052,1,116,116,0,0,1,SUCCESS
Nagpur_Feature_Dataset.csv,5,5,0,17,17,0,0,0,SUCCESS
Nagpur_Hospitals.csv,412,412,0,37,37,0,0,0,SUCCESS
Nagpur_Parks.csv,142,142,0,31,31,0,0,0,SUCCESS
Nagpur_Roads.csv,110566,110566,0,18,18,0,0,0,SUCCESS
Nagpur_Schools.csv,75,75,0,31,31,0,0,0,SUCCESS
Nagpur_WaterBodies.csv,29,29,0,21,21,0,0,0,SUCCESS
Nagpur_Buildings_Clean_1.csv,46052,46052,0,116,116,0,0,0,SUCCESS
Nagpur_BuiltUp_Spatial_Clean_1.csv,16949,16949,0,12,12,0,0,0,SUCCESS
Nagpur_BuiltUp_Summary_Clean_1.csv,1,1,0,15,15,0,0,0,SUCCESS
Nagpur_Feature_Dataset_Clean_1.csv,5,5,0,17,17,0,0,0,SUCCESS
Nagpur_FloodRisk_Spatial_Clean_1.csv,53097,53097,0,13,13,0,0,0,SUCCESS
Nagpur_FloodRisk_Summary_Clean_1.csv,1,1,0,15,15,0,0,0,SUCCESS
Nagpur_GreenCover_Spatial_Clean_1.csv,61640,61640,0,16,16,0,0,0,SUCCESS
Nagpur_GreenCover_Summary_Clean_1.csv,1,1,0,14,14,0,0,0,SUCCESS
Nagpur_Heatmap_Spatial_Clean_1.csv,597011,597011,0,12,12,0,0,0,SUCCESS
Nagpur_Heatmap_Summary_Clean_1.csv,1,1,0,19,19,0,0,0,SUCCESS
Nagpur_Hospitals_Clean_1.csv,412,412,0,37,37,0,0,0,SUCCESS
Nagpur_LULC_Clean_1.csv,12960000,12960000,0,4,4,0,0,0,SUCCESS
Nagpur_LULC_Summary_Clean_1.csv,8,8,0,6,6,0,0,0,SUCCESS
Nagpur_Parks_Clean_1.csv,142,142,0,31,31,0,0,0,SUCCESS
Nagpur_Roads_Clean_1.csv,110566,110566,0,18,18,0,0,0,SUCCESS
Nagpur_Schools_Clean_1.csv,75,75,0,31,31,0,0,0,SUCCESS
Nagpur_Sentinel2_NDVI_Spatial_Clean_1.csv,21046,21046,0,13,13,0,0,0,SUCCESS
Nagpur_Sentinel2_NDVI_Summary_Clean_1.csv,1,1,0,14,14,0,0,0,SUCCESS
Nagpur_WaterBodies_Clean_1.csv,29,29,0,21,21,0,0,0,SUCCESS
Nagpur_BuiltUp_Spatial.csv,16949,16949,0,12,12,0,0,0,SUCCESS
Nagpur_BuiltUp_Summary.csv,1,1,0,15,15,0,0,0,SUCCESS
Nagpur_FloodRisk_Spatial.csv,53097,53097,0,13,13,0,0,0,SUCCESS
Nagpur_FloodRisk_Summary.csv,1,1,0,15,15,0,0,0,SUCCESS
Nagpur_GreenCover_Spatial.csv,61640,61640,0,16,16,0,0,0,SUCCESS
Nagpur_GreenCover_Summary.csv,1,1,0,14,14,0,0,0,SUCCESS
Nagpur_Heatmap_Spatial.csv,597011,597011,0,12,12,0,0,0,SUCCESS
Nagpur_Heatmap_Summary.csv,1,1,0,19,19,0,0,0,SUCCESS
Nagpur_LULC.csv,12960000,12960000,0,4,4,0,0,0,SUCCESS
Nagpur_LULC_Summary.csv,8,8,0,6,6,0,0,0,SUCCESS
Nagpur_Sentinel2_NDVI_Spatial.csv,21046,21046,0,13,13,0,0,0,SUCCESS
Nagpur_Sentinel2_NDVI_Summary.csv,1,1,0,14,14,0,0,0,SUCCESS
